variable,importance
Curricular units 2nd sem (approved),0.14356747826827865
Curricular units 2nd sem (grade),0.11769979869187344
Curricular units 1st sem (approved),0.08370402801853555
Curricular units 1st sem (grade),0.0675453947105098
Tuition fees up to date,0.06535064090090553
Curricular units 2nd sem (evaluations),0.044240201260358096
Age at enrollment,0.03927715888909247
Admission grade,0.038801635273251214
Curricular units 1st sem (evaluations),0.03855680319087781
Previous qualification (grade),0.034038897475998545
Course,0.029023232475841987
Father's occupation,0.027162743410098788
Mother's occupation,0.024419345583500854
GDP,0.02107418421433145
Application mode,0.020123799123219172
Unemployment rate,0.020099904165578306
Inflation rate,0.01961030865937749
Father's qualification,0.01947467779885714
Mother's qualification,0.018543459020802743
Debtor,0.016283319288061333
Curricular units 2nd sem (enrolled),0.013737987544563977
Curricular units 1st sem (enrolled),0.013368312329685345
Scholarship holder,0.011776281550927246
Application order,0.011760044949425522
Gender,0.010127656033396458
Curricular units 1st sem (credited),0.008896421369806003
Displaced,0.007873295097357643
Curricular units 2nd sem (credited),0.006250849094297044
Previous qualification,0.006044733486526298
Curricular units 2nd sem (without evaluations),0.005616424508206998
Curricular units 1st sem (without evaluations),0.005385833458432254
Marital status,0.003879429841834492
Daytime/evening attendance	,0.0026775608684463893
Nacionality,0.0019443734385050817
Educational special needs,0.0010813678721461183
International,0.0009824181370927249
